,LIBID,1992 LOCGVT,STABR,LIBNAME,1993 LOCGVT,1994 LOCGVT,1995 LOCGVT,1996 LOCGVT,1997 LOCGVT,1998 LOCGVT,1999 LOCGVT,2000 LOCGVT,2001 LOCGVT,2002 LOCGVT,2003 LOCGVT,2004 LOCGVT,2005 LOCGVT,2006 LOCGVT,2007 LOCGVT,2008 LOCGVT,2009 LOCGVT,2010 LOCGVT,2011 LOCGVT,2012 LOCGVT,2013 LOCGVT,2014 LOCGVT,2015 LOCGVT,2016 LOCGVT
0,1412,84317,CT,WILLOUGHBY WALLACE MEMORIAL LIBRARY,90808,106332,504586,88957,106711,106711,130902,135974,139133,160612,168905,175249,167419,180939,180939,165926,202327,192790,194817,196557,202271,205232,214983,215217
1,3000,98951,CT,SAXTON B. LITTLE FREE LIBRARY,98951,103951,109487,127053,134422,134422,148200,155610,163390,172376,182736,186338,195655,204932,245571,268205,291708,291708,300460,305229,311269,321962,339964,375162
2,3300,251132,CT,CROMWELL BELDEN PUBLIC LIBRARY,251323,261911,274090,308013,321828,321828,333479,346626,381554,400140,418626,432751,444285,466464,488579,489511,512756,508466,509890,522414,534876,536772,554159,568710
3,3600,42670,CT,DEEP RIVER PUBLIC LIBRARY,44960,46568,47811,52639,66835,66835,74886,79726,83153,94286,98466,104557,114888,121354,118845,120853,125423,125423,127579,131389,222329,217850,237380,226330
4,4112,8000,CT,EAST HADDAM FREE PUBLIC LIBRARY,8240,10000,13500,16300,26505,26505,84482,50000,52500,58500,63535,66712,69348,72815,76815,80656,80656,77430,81301,86500,123000,247833,254449,266657
5,5112,174900,CT,PEQUOT LIBRARY ASSOCIATION,174900,189900,204400,210500,235000,235000,251000,260000,270000,280000,280000,310000,320000,335000,372251,431223,340000,365000,356167,348227,350000,350000,350000,350000
6,5422,5000,CT,SOUTH GLASTONBURY PUBLIC LIBRARY,5000,5057,4718,529633,536440,536440,608284,639279,766913,909884,954750,925247,5000,5253,5790,5467,5443,1175629,1048932,1099340,1149926,1166492,1203933,1239088
7,7201,343686,CT,LEDYARD PUBLIC LIBRARIES,346077,368596,385473,407236,412454,412454,451135,457974,465044,486375,485046,516658,570925,520294,533270,548770,586973,550109,548631,550990,533081,544621,546085,562599
8,9201,90115,CT,"BAKERVILLE LIBRARY, INC.",79331,78839,86403,94763,108850,108850,31955,31831,33016,151407,86177,140096,0,42500,43000,44300,44500,44500,45000,47000,48000,52000,52000,53040
9,10100,470149,CT,NORTH HAVEN MEMORIAL LIBRARY,439846,502530,537586,552035,548626,548626,629908,637264,690832,703111,719643,757303,767343,726460,800312,916975,966907,948729,928124,908969,903507,884348,894432,956891
10,12700,31000,CT,SHERMAN LIBRARY ASSN.,31000,42030,50250,59299,65445,65445,74262,79461,84625,89034,91900,95900,101500,106950,111760,115115,120000,120000,120000,115000,115000,110000,125000,145000
11,14600,62500,CT,"ROCKVILLE PUBLIC LIBRARY, INC.",62500,62500,84000,94000,88000,88000,110000,120000,130000,143000,153000,153000,193000,218000,228000,228000,300000,300000,300000,310000,310000,310000,310000,310000
12,3212,141385,CT,BOOTH & DIMOCK MEMORIAL LIBRARY,145926,155300,155915,160319,173100,173100,189250,196820,208600,221930,237338,247424,259795,277776,291665,324320,352236,359556,370882,371351,379983,402556,423134,432513
13,EV,15694,IA,MALLARD PUBLIC LIBRARY,17260,15702,16644,17640,17902,17902,32275,17579,18900,18238,4369,21903,23276,26868,32383,22915,18257,20250,21591,22021,22021,18527,32748,35624
14,LI,12080,IA,EARLY PUBLIC LIBRARY,11920,12031,12280,13024,14885,14885,13942,13873,13335,23115,24330,26783,16837,18121,18479,18385,19582,24569,21124,26959,36513,21883,20756,20943
15,LR,9015,IA,NORWAY PUBLIC LIBRARY,8725,9000,9000,9500,9500,9500,14000,14750,13277,12830,15100,13732,13642,14082,14267,13963,14310,13806,14543,21965,23097,24131,20042,24824
16,OK,10121,IA,PRESCOTT PUBLIC LIBRARY,13199,10925,16629,11875,11976,11976,11775,12025,12025,12450,5000,5000,9956,9944,10446,10947,11202,3000,2911,10460,13000,13535,13535,13856
17,SS,18650,IA,WINTHROP PUBLIC LIBRARY,16298,15312,15654,13696,16416,16416,14252,19030,20031,20383,22883,23696,22441,23185,25516,27123,29992,34386,36929,32953,37733,38706,39114,40735
18,V2,8418,IA,LYTTON PUBLIC LIBRARY,8754,6365,6926,7004,7030,7030,4500,12860,12478,4296,11808,15714,13668,15587,15887,16308,16548,17862,17862,18104,19138,19156,19503,20150
19,XD,13000,IA,ELLIOTT PUBLIC LIBRARY,11000,9000,10750,10907,11062,11062,10300,11050,12000,12500,13100,11845,11345,11346,11345,11346,12645,12645,12646,11990,13845,13844,13645,11728
20,XI,3800,IA,LEWIS PUBLIC LIBRARY,3980,4200,3415,16635,18349,18349,20389,5933,5769,6672,6664,7199,6654,9569,11279,11013,13488,13660,15321,15421,17763,18100,18200,23878
21,BARREN,154008,KY,MARY WOOD WELDON MEMORIAL PUBLIC LIBRARY,157520,172712,182694,197775,203484,203484,222299,237009,247435,376013,538673,551233,602820,625569,631965,662107,679682,693299,692907,706000,711581,709444,731669,765584
22,BREATHITT,153187,KY,BREATHITT COUNTY PUBLIC LIBRARY,115833,167334,208596,179425,200260,200260,232535,217813,222757,261672,253255,255132,262236,270769,314263,328244,338174,341047,398608,462166,501310,544808,633141,506751
23,BRECKINRIDGE,103861,KY,BRECKINRIDGE COUNTY PUBLIC LIBRARY,104429,119307,126310,131455,149687,149687,174448,174504,202867,218834,233385,259456,283153,329475,394967,457564,522303,626185,673865,764090,908214,887862,919744,910563
24,BUTLER,72912,KY,BUTLER COUNTY PUBLIC LIBRARY,77363,87569,93681,101031,108913,108913,115819,131565,132160,143104,147566,154140,167797,183872,207751,227301,240086,276901,288175,303557,306524,308672,310203,314556
25,CALDWELL,97975,KY,GEORGE COON PUBLIC LIBRARY,96292,101169,105809,111231,116376,116376,125921,127049,129059,135138,135161,142663,149263,160075,185619,181073,200745,211859,232682,249372,270715,300496,315755,320981
26,CALLOWAY,210396,KY,CALLOWAY COUNTY PUBLIC LIBRARY,218028,231203,244897,265894,288799,288799,319812,319754,339262,353278,394643,395176,442410,513716,563917,658340,722646,795093,939039,1015934,1191512,1310360,1400535,1592087
27,CLAY,47387,KY,CLAY COUNTY PUBLIC LIBRARY,38772,73652,61759,65871,44117,44117,100797,102319,126392,123438,130691,160401,152018,173091,203702,222394,257748,295603,302237,355250,364252,368473,401205,430981
28,CRITTENDEN,94602,KY,CRITTENDEN COUNTY PUBLIC LIBRARY,96399,100844,108475,113074,126063,126063,130479,132529,140965,157498,152164,156150,161301,170837,179192,179585,184322,195827,190678,189270,194572,200225,218649,212836
29,EDMONSON,47387,KY,EDMONSON COUNTY PUBLIC LIBRARY,48881,53584,57279,59547,66760,66760,76353,81708,91268,96646,104438,126013,128036,148070,184041,214390,240326,290907,315818,372368,398805,413181,406707,438035
30,ESTILL,73781,KY,ESTILL COUNTY PUBLIC LIBRARY,81150,86895,88768,101525,114295,114295,124834,133158,149577,169691,171597,212378,249376,256939,334997,399369,399872,511924,526118,576851,633329,608306,597509,604142
31,FAYETTE,5481080,KY,LEXINGTON PUBLIC LIBRARY,5396300,5758550,6098051,6767204,6701017,6701017,7453397,8163150,8923560,9327090,9357980,9780698,10561590,11322890,11741422,12408049,13065900,13324095,13287501,13583126,13746809,13868109,14081581,14634159
32,FLEMING,51017,KY,FLEMING COUNTY PUBLIC LIBRARY,54040,59605,62939,69138,77381,77381,107508,100397,191402,214655,219585,250709,249920,261833,299745,332786,349410,373343,400778,436334,459278,481556,513841,541326
33,GARRARD,70248,KY,GARRARD COUNTY PUBLIC LIBRARY,74002,79005,86088,92754,106882,106882,125680,138613,145642,158505,172588,199806,235874,260379,306188,355172,403644,480419,552673,555032,561782,573535,563015,572455
34,GRAYSON,131570,KY,GRAYSON COUNTY PUBLIC LIBRARY,133629,136942,146908,162884,179661,179661,200141,211846,235357,234613,258003,282329,317821,357320,408240,457437,513395,596861,660104,754191,822202,928375,1032309,1128836
35,HARDIN,280000,KY,HARDIN COUNTY PUBLIC LIBRARY,218000,266000,275091,302281,321221,321221,365346,377690,445103,521136,581766,618000,628803,639863,664641,702332,720000,740000,765000,780000,795000,810000,825000,840000
36,HARLAN,129216,KY,HARLAN COUNTY PUBLIC LIBRARY,126759,152089,55970,175375,170484,170484,228308,230835,253016,279804,361670,356800,395244,416538,498885,533745,600108,648045,691360,690360,686645,852362,891858,1000929
37,HENDERSON,350648,KY,HENDERSON COUNTY PUBLIC LIBRARY,387510,410536,468481,478001,564583,564583,648447,683313,732035,782965,845764,884964,951216,1057092,1217372,1398268,1583379,1763593,1802470,2098063,2273468,2261332,2394157,2532740
